id,host_id,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,availability_30,number_of_reviews,host_listing_count,20-29,30-39,40-49,50-59,60-69,70-79,80-84,85-89,90-94,95-100,price,price_log
848853,4432173,10027,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,3,30,9,1,0,0,0,0,0,0,0,0,0,1,85.0,4.442651256490317
779001,290104,10001,Apartment,Entire home/apt,6,1.0,1.0,3.0,Real Bed,4,12,13,3,0,0,0,0,0,0,1,0,0,0,275.0,5.616771097666572
3210405,16266298,10013,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,2,15,7,1,0,0,0,0,0,0,0,0,0,1,199.0,5.293304824724492
4259427,21833312,11213,Apartment,Entire home/apt,6,2.0,3.0,5.0,Real Bed,6,20,3,1,0,0,0,0,0,0,0,0,0,1,250.0,5.521460917862246
2097119,10004107,10019,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,5,41,2,0,0,0,0,0,0,0,1,0,0,100.0,4.605170185988092
2489010,6083377,10022,Apartment,Shared room,2,1.0,1.0,1.0,Real Bed,2,30,3,3,0,0,0,0,0,0,0,0,1,0,100.0,4.605170185988092
3667507,6724898,10016,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,2,30,13,1,0,0,0,0,0,0,0,0,1,0,275.0,5.616771097666572
786053,2478675,11226,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,1,12,40,3,0,0,0,0,0,0,0,0,0,1,40.0,3.6888794541139363
720529,3508432,10003,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,2,1,1,1,0,0,0,0,0,0,0,0,0,1,195.0,5.272999558563747
43632,190767,11217,Apartment,Private room,1,0.0,1.0,1.0,Real Bed,7,30,13,2,0,0,0,0,0,0,0,0,0,1,75.0,4.31748811353631
4193000,147174,11205,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,11,10,1,0,0,0,0,0,0,0,0,1,0,35.0,3.5553480614894135
1678571,135018,10012,Apartment,Entire home/apt,6,1.0,2.0,2.0,Real Bed,3,0,3,1,0,0,0,0,0,0,0,0,0,1,400.0,5.991464547107982
720138,3044147,11238,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,3,6,61,1,0,0,0,0,0,0,0,0,0,1,145.0,4.976733742420574
3603733,17286331,10025,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,2,16,3,1,0,0,0,0,0,0,0,0,0,1,200.0,5.298317366548036
2686674,13752939,10019,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,1,27,21,2,0,0,0,0,0,0,1,0,0,0,199.0,5.293304824724492
63719,311286,11216,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,2,0,26,10,0,0,0,0,0,0,0,0,1,0,80.0,4.382026634673881
3429668,4379939,10019,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,1,29,11,2,0,0,0,0,0,0,0,0,0,1,450.0,6.1092475827643655
270541,1416423,10003,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,5,1,43,1,0,0,0,0,0,0,0,0,0,1,225.0,5.41610040220442
3798904,15285681,11221,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,30,2,1,0,0,0,0,0,0,0,0,0,1,85.0,4.442651256490317
4718314,24374791,11216,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,0,1,2,0,0,0,0,0,0,0,0,0,1,95.0,4.553876891600541
514973,2530568,10027,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,3,2,4,1,0,0,0,0,0,0,0,0,0,1,149.0,5.003946305945459
3930413,2674592,10031,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,1,18,13,5,0,0,0,0,0,0,0,0,0,1,99.0,4.59511985013459
4585784,853508,10018,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,1,5,1,1,0,0,0,0,0,0,1,0,0,0,225.0,5.41610040220442
1768291,9290513,11216,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,4,30,4,7,0,0,0,0,0,0,1,0,0,0,220.0,5.393627546352362
4325124,1100494,10031,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,1,16,1,10,0,0,0,0,0,0,0,0,0,1,45.0,3.8066624897703196
1966039,9895399,11222,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,10,11,2,1,0,0,0,0,0,0,0,0,0,1,93.0,4.532599493153256
4324222,4548639,10037,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,1,30,2,2,0,0,0,0,0,0,0,0,1,0,90.0,4.499809670330265
1177986,6445111,10016,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,4,0,1,1,0,0,0,0,0,0,0,0,1,0,209.0,5.342334251964811
2959107,7156797,10032,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,1,0,1,1,0,0,0,0,0,0,0,0,1,0,125.0,4.8283137373023015
2488712,11313849,11238,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,3,28,27,1,0,0,0,0,0,0,0,0,0,1,110.0,4.700480365792417
2423706,14507603,10010,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,4,13,12,2,0,0,0,0,0,1,0,0,0,0,325.0,5.783825182329737
